AUTHENTICATE CRAM-MD5.
ready
ready
*OPC is OK (1). 
####	2020/02/13 22:31:24 607,M_1-PreAMP-S_3-1-D_1_125 
 DATE  ,PK_WL[THZ],LEVEL[dBm],3.0dB WD[nm],CRT WL WL[NM],3.0dB PB[nm],RIPPLE[dB],CROSS TK[L][dB],CROSS TK[R][dB],OFFSET WL[nm],OFFSET LEVEL[dBm],NOISE[dBm][NBW],OSNR[dB] 
2020/02/13 22:31:24 607,194.800,-25.488,254423032,194800710, 0.000,28.971,0.08494945,-0.01106666, 0.000, 0.000,-46.640,21.146 

2020/02/13 22:31:25 647,194.800,-25.524,240499399,194800716, 0.000,28.935,0.07836882,0.04611711, 0.000, 0.000,-46.646,21.260 

2020/02/13 22:31:26 655,194.800,-25.575,229107337,194800723, 0.000,28.878,0.08947721,0.01443285, 0.000, 0.000,-46.648,21.068 

2020/02/13 22:31:27 637,194.800,-25.479,251891525,194800733, 0.000,28.964,0,0.07205511, 0.000, 0.000,-46.639,21.154 

2020/02/13 22:31:28 599,194.800,-25.545,232904621,194800692, 0.000,28.905,0.07642923,0.04107862, 0.000, 0.000,-46.644,21.179 

2020/02/13 22:31:29 604,194.800,-25.468,234170483,194800722, 0.000,28.997,0.07920772,0.04766263, 0.000, 0.000,-46.632,21.159 

2020/02/13 22:31:30 590,194.800,-25.549,251891460,194800710, 0.000,28.903,0.07153288,0.05527039, 0.000, 0.000,-46.647,21.092 

2020/02/13 22:31:31 575,194.800,-25.465,244296711,194800694, 0.000,29.010,0.07802179,0.01996458, 0.000, 0.000,-46.650,21.076 

2020/02/13 22:31:32 559,194.800,-25.462,230373109,194800712, 0.000,28.993,0.09198990,0.02971386, 0.000, 0.000,-46.632,21.152 

2020/02/13 22:31:33 543,194.800,-25.452,245562545,194800719, 0.000,29.005,0.08388898,0.00531987, 0.000, 0.000,-46.640,21.182 

2020/02/13 22:31:34 528,194.800,-25.437,243030940,194800699, 0.000,29.036,0.06711518,-0.01081478, 0.000, 0.000,-46.642,21.199 

2020/02/13 22:31:35 501,194.800,-25.545,232904621,194800692, 0.000,28.911,0.08940945,0.03578410, 0.000, 0.000,-46.648,21.155 

2020/02/13 22:31:36 498,194.800,-25.464,239233660,194800733, 0.000,29.010,0.08217122,0.00879729, 0.000, 0.000,-46.653,21.184 

2020/02/13 22:31:37 481,194.800,-25.464,251891460,194800710, 0.000,28.989,0.08473232,0.05898707, 0.000, 0.000,-46.656,21.185 

2020/02/13 22:31:38 446,194.800,-25.441,239233566,194800693, 0.000,29.018,0,0.01811574, 0.000, 0.000,-46.642,21.168 

2020/02/13 22:31:39 449,194.800,-25.440,230373109,194800713, 0.000,29.009,0,0.05721720, 0.000, 0.000,-46.627,21.181 

2020/02/13 22:31:40 434,194.800,-25.475,250625657,194800706, 0.000,29.001,0.08270371,-0.00207651, 0.000, 0.000,-46.645,21.163 

2020/02/13 22:31:41 418,194.800,-25.535,240499368,194800703, 0.000,28.926,0,0.01600338, 0.000, 0.000,-46.650,21.109 

2020/02/13 22:31:42 402,194.800,-25.429,230373079,194800705, 0.000,29.032,0,0.03405462, 0.000, 0.000,-46.637,21.176 

2020/02/13 22:31:43 386,194.800,-25.457,239233660,194800739, 0.000,28.990,0,0.04513579, 0.000, 0.000,-46.643,21.180 

2020/02/13 22:31:44 372,194.800,-25.539,249359887,194800707, 0.000,28.895,0,0.05012793, 0.000, 0.000,-46.649,21.104 

2020/02/13 22:31:45 333,194.800,-25.549,240499368,194800703, 0.000,28.921,0,0.03213430, 0.000, 0.000,-46.648,21.186 

2020/02/13 22:31:46 340,194.800,-25.568,232904681,194800721, 0.000,28.905,0.08720958,0.04570325, 0.000, 0.000,-46.654,21.079 

2020/02/13 22:31:47 325,194.800,-25.466,251891460,194800711, 0.000,28.999,0.08591930,-0.01167938, 0.000, 0.000,-46.644,21.172 

