AUTHENTICATE CRAM-MD5.
ready
ready
*OPC is OK (1). 
####	2020/02/12 20:52:40 253,M_1-PreAMP-S_3-2-D_1_125_6H 
 DATE  ,PK_WL[THZ],LEVEL[dBm],3.0dB WD[nm],CRT WL WL[NM],3.0dB PB[nm],RIPPLE[dB],CROSS TK[L][dB],CROSS TK[R][dB],OFFSET WL[nm],OFFSET LEVEL[dBm],NOISE[dBm][NBW],OSNR[dB] 
2020/02/12 20:52:40 253,194.804,-23.960,182402238,194802011,323419606,16.101, 5.627, 5.563, 0.000, 0.000,-47.222,23.232 

2020/02/12 20:52:41 291,194.804,-23.940,182908630,194802053,322280170,16.094, 5.650, 5.598, 0.000, 0.000,-47.222,23.214 

2020/02/12 20:52:42 299,194.803,-23.952,182782109,194802083,323166398,16.169, 5.566, 5.506, 0.000, 0.000,-47.223,23.241 

2020/02/12 20:52:43 281,194.804,-23.957,182402380,194802086,320381405,15.929, 5.802, 5.742, 0.000, 0.000,-47.222,23.236 

2020/02/12 20:52:44 252,194.802,-23.932,183161815,194802066,322786586,16.150, 5.603, 5.545, 0.000, 0.000,-47.229,23.299 

2020/02/12 20:52:45 252,194.804,-23.973,183541592,194802085,323039878,16.132, 5.578, 5.524, 0.000, 0.000,-47.224,23.221 

2020/02/12 20:52:46 236,194.804,-23.883,182149243,194802103,322533714,16.175, 5.632, 5.571, 0.000, 0.000,-47.229,23.317 

2020/02/12 20:52:47 196,194.803,-23.949,182782062,194802057,322913106,16.137, 5.601, 5.546, 0.000, 0.000,-47.225,23.230 

2020/02/12 20:52:48 205,194.804,-23.951,183541592,194802080,323925938,16.219, 5.514, 5.458, 0.000, 0.000,-47.223,23.242 

2020/02/12 20:52:49 188,194.803,-23.984,183668136,194802068,322660066,16.111, 5.597, 5.531, 0.000, 0.000,-47.224,23.209 

2020/02/12 20:52:50 153,194.804,-23.952,181642897,194802090,319495304,15.981, 5.755, 5.690, 0.000, 0.000,-47.224,23.219 

2020/02/12 20:52:51 155,194.804,-23.868,181516234,194802047,319748512,16.008, 5.814, 5.750, 0.000, 0.000,-47.230,23.332 

2020/02/12 20:52:52 141,194.804,-23.878,182022509,194802022,319495221,15.945, 5.867, 5.807, 0.000, 0.000,-47.224,23.317 

2020/02/12 20:52:53 117,194.804,-23.957,182275811,194802099,321267674,16.055, 5.674, 5.614, 0.000, 0.000,-47.225,23.315 

2020/02/12 20:52:54 111,194.802,-23.963,181516282,194802067,319875157,15.926, 5.797, 5.740, 0.000, 0.000,-47.227,23.242 

2020/02/12 20:52:55 942,194.804,-23.956,182149101,194802027,320507968,15.959, 5.771, 5.704, 0.000, 0.000,-47.227,23.242 

2020/02/12 20:52:56 774,194.805,-23.953,182655588,194802117,320634738,16.030, 5.702, 5.642, 0.000, 0.000,-47.230,23.247 

2020/02/12 20:52:57 642,194.803,-23.947,181642850,194802066,319748553,15.907, 5.831, 5.772, 0.000, 0.000,-47.225,23.237 

2020/02/12 20:52:58 467,194.805,-23.958,182402285,194802038,320887737,15.943, 5.785, 5.725, 0.000, 0.000,-47.235,23.247 

2020/02/12 20:52:59 318,194.803,-23.962,182022603,194802074,319242180,15.957, 5.765, 5.718, 0.000, 0.000,-47.224,23.232 

2020/02/12 20:53:00 180,194.804,-23.967,181642850,194802060,319748553,15.864, 5.858, 5.797, 0.000, 0.000,-47.229,23.226 

2020/02/12 20:53:00 224,194.804,-23.951,182528877,194802048,322153650,16.092, 5.648, 5.584, 0.000, 0.000,-47.225,23.245 

2020/02/12 20:53:01 986,194.804,-23.969,183668136,194802063,319748512,15.974, 5.745, 5.692, 0.000, 0.000,-47.222,23.222 

2020/02/12 20:53:02 957,194.804,-23.943,182275740,194802058,320508009,15.946, 5.797, 5.740, 0.000, 0.000,-47.224,23.220 

2020/02/12 20:53:03 952,194.803,-23.948,182655470,194802047,321520631,16.060, 5.686, 5.622, 0.000, 0.000,-47.227,23.250 

2020/02/12 20:53:04 937,194.804,-23.938,183035270,194802078,322913148,16.167, 5.586, 5.523, 0.000, 0.000,-47.224,23.257 

2020/02/12 20:53:05 900,194.804,-23.874,181263050,194802032,319495263,15.956, 5.854, 5.800, 0.000, 0.000,-47.224,23.229 

2020/02/12 20:53:06 905,194.801,-23.971,182908630,194802053,321773839,16.062, 5.663, 5.593, 0.000, 0.000,-47.231,23.230 

2020/02/12 20:53:07 892,194.803,-23.973,183414928,194802037,322533336,16.094, 5.619, 5.558, 0.000, 0.000,-47.233,23.229 

2020/02/12 20:53:08 855,194.803,-23.958,182149195,194802077,319242097,15.937, 5.794, 5.732, 0.000, 0.000,-47.226,23.291 

2020/02/12 20:53:09 858,194.804,-23.951,181516258,194802053,320381447,15.947, 5.787, 5.727, 0.000, 0.000,-47.233,23.252 

2020/02/12 20:53:10 844,194.805,-23.880,181263097,194802061,320761258,16.011, 5.795, 5.736, 0.000, 0.000,-47.227,23.318 

2020/02/12 20:53:11 817,194.803,-23.957,182402427,194802112,321520840,16.089, 5.641, 5.577, 0.000, 0.000,-47.232,23.248 

2020/02/12 20:53:12 811,194.804,-23.937,181263168,194802096,320761342,15.993, 5.756, 5.700, 0.000, 0.000,-47.222,23.255 

2020/02/12 20:53:13 796,194.803,-23.944,181136505,194802047,319621908,15.871, 5.873, 5.814, 0.000, 0.000,-47.232,23.258 

2020/02/12 20:53:14 780,194.804,-23.956,182275740,194802058,321394236,16.072, 5.659, 5.603, 0.000, 0.000,-47.224,23.240 

2020/02/12 20:53:15 767,194.804,-23.948,181516282,194802064,319875198,15.928, 5.812, 5.755, 0.000, 0.000,-47.225,23.237 

2020/02/12 20:53:16 749,194.804,-23.857,181136505,194802051,319368700,15.946, 5.883, 5.823, 0.000, 0.000,-47.223,23.337 

2020/02/12 20:53:17 735,194.803,-23.947,182149124,194802035,322027172,16.116, 5.622, 5.566, 0.000, 0.000,-47.224,23.248 

2020/02/12 20:53:18 717,194.803,-23.858,181389760,194802101,322027297,16.155, 5.673, 5.612, 0.000, 0.000,-47.224,23.256 

2020/02/12 20:53:19 702,194.804,-23.948,181769442,194802074,320381530,15.946, 5.800, 5.741, 0.000, 0.000,-47.226,23.249 

2020/02/12 20:53:20 686,194.803,-23.965,182022556,194802041,322406942,16.110, 5.608, 5.550, 0.000, 0.000,-47.226,23.231 

2020/02/12 20:53:21 660,194.804,-23.876,182022650,194802093,321014550,16.111, 5.700, 5.635, 0.000, 0.000,-47.224,23.281 

2020/02/12 20:53:22 656,194.805,-23.926,181642874,194802074,320128281,15.941, 5.826, 5.762, 0.000, 0.000,-47.224,23.268 

