AUTHENTICATE CRAM-MD5.
ready
ready
*OPC is OK (1). 
####	2020/02/17 11:19:53 219,M_1-PreAMP-S_2-D_1_50 
 DATE  ,PK_WL[THZ],LEVEL[dBm],3.0dB WD[nm],CRT WL WL[NM],3.0dB PB[nm],RIPPLE[dB],CROSS TK[L][dB],CROSS TK[R][dB],OFFSET WL[nm],OFFSET LEVEL[dBm],NOISE[dBm][NBW],OSNR[dB] 
2020/02/17 11:19:53 219,194.800,-22.053,227840766,194800384,407467447,24.235, 8.604, 8.581, 0.000, 0.000,-45.540,23.483 

2020/02/17 11:19:54 260,194.800,-22.025,227840737,194800373,406961013,24.280, 8.594, 8.572, 0.000, 0.000,-45.476,23.495 

2020/02/17 11:19:55 266,194.800,-21.928,232903834,194800364,407973616,24.391, 8.603, 8.502, 0.000, 0.000,-45.470,23.539 

2020/02/17 11:19:56 249,194.800,-22.041,246827449,194800369,406201469,24.137, 8.774, 8.684, 0.000, 0.000,-45.479,23.435 

2020/02/17 11:19:57 211,194.800,-21.928,234169631,194800368,406201363,24.335, 8.677, 8.593, 0.000, 0.000,-45.531,23.635 

2020/02/17 11:19:58 218,194.800,-21.978,244295885,194800366,406960961,24.217, 8.734, 8.664, 0.000, 0.000,-45.486,23.505 

2020/02/17 11:19:59 202,194.800,-21.952,225309232,194800400,407087516,24.376, 8.593, 8.528, 0.000, 0.000,-45.532,23.577 

2020/02/17 11:20:00 187,194.800,-22.021,244295949,194800396,405948305,24.173, 8.728, 8.641, 0.000, 0.000,-45.549,23.596 

2020/02/17 11:20:01 173,194.800,-21.924,225309202,194800385,405821697,24.309, 8.693, 8.637, 0.000, 0.000,-45.537,23.576 

2020/02/17 11:20:02 157,194.800,-21.941,235435367,194800352,408353388,24.379, 8.579, 8.566, 0.000, 0.000,-45.473,23.528 

2020/02/17 11:20:03 140,194.800,-21.970,246827449,194800367,405315580,24.169, 8.779, 8.714, 0.000, 0.000,-45.477,23.503 

2020/02/17 11:20:04 103,194.800,-21.975,235435397,194800361,406960696,24.279, 8.652, 8.597, 0.000, 0.000,-45.533,23.571 

2020/02/17 11:20:05 108,194.800,-21.963,244295853,194800353,406707691,24.219, 8.733, 8.672, 0.000, 0.000,-45.477,23.511 

2020/02/17 11:20:06 943,194.800,-21.966,226574970,194800378,406328077,24.293, 8.648, 8.599, 0.000, 0.000,-45.535,23.565 

2020/02/17 11:20:07 793,194.800,-22.029,245561683,194800378,406327866,24.170, 8.738, 8.678, 0.000, 0.000,-45.490,23.504 

2020/02/17 11:20:08 637,194.800,-22.036,227840766,194800387,406707744,24.260, 8.653, 8.552, 0.000, 0.000,-45.542,23.576 

2020/02/17 11:20:09 481,194.800,-21.959,232903804,194800349,406960908,24.297, 8.668, 8.588, 0.000, 0.000,-45.472,23.510 

2020/02/17 11:20:10 318,194.800,-21.947,245561651,194800359,407594003,24.348, 8.632, 8.555, 0.000, 0.000,-45.477,23.526 

2020/02/17 11:20:11 634,194.800,-21.958,231638037,194800353,407973510,24.348, 8.663, 8.557, 0.000, 0.000,-45.476,23.626 

2020/02/17 11:20:11 999,194.800,-22.022,246827449,194800371,408100225,24.235, 8.640, 8.603, 0.000, 0.000,-45.485,23.460 

2020/02/17 11:20:12 985,194.800,-22.002,227840796,194800397,408100225,24.366, 8.543, 8.479, 0.000, 0.000,-45.539,23.534 

2020/02/17 11:20:13 950,194.800,-22.010,246827449,194800367,406074808,24.194, 8.755, 8.665, 0.000, 0.000,-45.477,23.439 

2020/02/17 11:20:14 954,194.800,-22.022,227840737,194800374,406960908,24.267, 8.675, 8.557, 0.000, 0.000,-45.547,23.522 

2020/02/17 11:20:15 939,194.800,-22.008,225309144,194800361,408100172,24.368, 8.553, 8.479, 0.000, 0.000,-45.485,23.474 

2020/02/17 11:20:16 923,194.800,-21.941,245561683,194800373,407720558,24.355, 8.626, 8.565, 0.000, 0.000,-45.546,23.601 

2020/02/17 11:20:17 905,194.800,-22.013,227840707,194800362,407214019,24.301, 8.612, 8.522, 0.000, 0.000,-45.548,23.537 

2020/02/17 11:20:18 890,194.800,-22.015,243030119,194800372,408353335,24.258, 8.659, 8.582, 0.000, 0.000,-45.558,23.539 

